id,tipoResiduo,direccion,longitud,latitud,nivelLlenado,alerta,fecha
1524047,resto,Av. De Las Suertes C.C La Gavia,-3.59929725116423,40.3671874521713,2,,2021-07-10T12:48:19.000+0200
1524088,envases,Alcala FTE.22 FLA. SN CV Virgen De Los Peligros,-3.69901132958498,40.4180932921282,0,,2021-07-11T10:29:15.000+0200
1524879,envases,Pza. Agata,-3.70887104843709,40.3466711932805,6,,2021-07-11T10:51:47.000+0200
1524328,resto,Av. De Las Águilas Junto Fla.26 (Salida Renfe Fanjul),-3.76866977166662,40.3836596644607,0,,2021-07-11T16:08:00.000+0200
1523839,resto,Av. Mendez Pelayo Frente Av. De Nazaret,-3.67651886543046,40.4112896516646,2,,2021-07-11T23:28:23.000+0200
1523902,resto,Gral. Ricardos N°107,-3.72560992448274,40.3922942816561,0,,2021-07-12T03:50:48.000+0200
1525185,resto,Av. De Las Águilas N°27,-3.76847794203488,40.3835082618016,0,,2021-07-12T04:14:37.000+0200
1525001,envases,Glorieta Rocio Durcal Metro Francos Rodríguez,-3.71176054164643,40.4572799103738,0,,2021-07-12T05:00:21.000+0200
1524667,envases,P°Castellana 162,-3.68976018706312,40.4582430494784,0,,2021-07-12T05:21:59.000+0200
1524464,envases,Plaza Rey,-3.69621153558084,40.4203056458343,0,,2021-07-12T05:23:46.000+0200
1523506,resto,Serrano 24,-3.68802588734417,40.4238569496845,6,,2021-07-12T05:26:15.000+0200
1525682,resto,Av. Monforte De Lemos CV Puerto De Maspalomas,-3.71368322053723,40.4775287734964,4,,2021-07-12T06:00:00.000+0200
1523512,envases,"Pz Colon Entrada America Española, FAROLA 58",-3.689389,40.424887,2,,2021-07-12T06:49:00.000+0200
1523954,resto,Plaza De Moncloa CV Princesa,-3.71927229055857,40.4350363086806,0,,2021-07-12T06:49:27.000+0200
1525573,resto,C° Viejo De Leganes N°128 CV Ángel Ripoll,-3.73012642911044,40.3825255440474,0,,2021-07-12T07:40:28.000+0200
1523010,envases,Virgen De La Alegría N°8-10,-3.6570799489743,40.4335217835916,4,,2021-07-12T07:40:43.000+0200
1525590,resto,Bustamante Con Juan Martin El Empecinado,-3.68823328339152,40.4005046905741,0,,2021-07-12T07:42:04.000+0200
1523823,resto,P°Castellana 40,-3.6878155742164,40.4328984540957,2,,2021-07-12T07:42:11.000+0200
1524095,resto,Boltaña (Centro De Salud Canillejas),-3.614042608,40.4443922549479,4,,2021-07-12T07:42:12.000+0200
1523009,resto,Vía Dublín (Edificio Correos),-3.61389560875373,40.4626301208749,0,,2021-07-12T07:42:19.000+0200
1524769,envases,Arroyo Bueno N° 53 CV Vado De Santiago,-3.71139498017123,40.3491603431408,4,,2021-07-12T07:42:32.000+0200
1525676,envases,Gta. Santa M.ª De La Cabeza 8 (Pasillo verde),-3.6995742470026016,40.4009611375428,0,,2021-07-12T07:42:48.000+0200
1523263,resto,Sierra De Guadalupe FTE. N°21 (Metro/Cercanias),-3.62451908584406,40.381842512523,4,,2021-07-12T07:43:07.000+0200
1525021,resto,Plaza Isabel II (Frente Calle Independencia),-3.70996626244218,40.4179248113233,2,,2021-07-12T07:43:48.000+0200
1525120,resto,"P° Vía Verde De La Gasolina SN (Metro El Capricho, Entrada Clásica)",-3.59441889865545,40.4531731327314,0,,2021-07-12T07:44:08.000+0200
1525673,resto,P ° Alberto Palacios N° 28,-3.71193334871524,40.3460648086047,2,,2021-07-12T07:44:20.000+0200
1522997,resto,Ascao N°4-6 (Biblioteca Pablo Neruda),-3.64170270732891,40.4296202135061,2,,2021-07-12T07:44:50.000+0200
1523938,envases,Fuente De Lima FTE. N°1 (Metro Aviación Española),-3.78384334122892,40.3837039758846,6,,2021-07-12T07:45:06.000+0200
1524889,resto,Av. Complutense Enteada Real Jardin Alfonso XIII,-3.72763544731662,40.4480281038676,0,,2021-07-12T07:45:13.000+0200
1524167,envases,Alcala CV Gran Vía,-3.69711764309205,40.4187450462036,4,,2021-07-12T07:45:31.000+0200
1523198,resto,Gran Vía CV Caballero De Gracia,-3.69760995722318,40.4190793616639,0,,2021-07-12T07:45:51.000+0200
1524778,envases,Fuente De La Mora N°3 (Metro Ligero),-3.66330229031167,40.4855290709064,2,,2021-07-12T07:46:41.000+0200
1525186,envases,Plaza Arturo Barea fte. Parque infantil,-3.70339047178032,40.4081129264859,6,,2021-07-12T07:46:49.000+0200
1524680,resto,Arturo Soria N°126-128 (Arturo Soria Plaza),-3.65115452236098,40.44969485523,0,,2021-07-12T07:46:53.000+0200
1524097,envases,Fuencarral 16,-3.70111169939404,40.4214034716622,4,,2021-07-12T07:47:07.000+0200
1524044,envases,P° Alberto Palacios N°25,-3.71197891146347,40.3459536867836,0,,2021-07-12T07:47:08.000+0200
1524035,resto,Oca N°41 CV Eduardo Morales,-3.73731614556573,40.3893451175299,0,,2021-07-12T07:47:47.000+0200
1524804,envases,Mayor 4,-3.70507936134359,40.4165407572671,0,,2021-07-12T07:47:52.000+0200
1524440,resto,P°Extremadura N°113-115,-3.7355656655316,40.4109463596001,6,,2021-07-12T07:47:58.000+0200
1524915,resto,C° Viejo De Leganes N°124 CV Julio Antonio,-3.72988995609932,40.3828535982445,0,,2021-07-12T07:48:03.000+0200
1523844,envases,Av. De Mendez Pelayo (Entrada/Salida Retiro Mariano De Cavia),-3.67851371743189,40.4082842962322,0,,2021-07-12T07:48:12.000+0200
1523874,envases,Reina Cristina,-3.6852107554538,40.4063325162703,0,,2021-07-12T07:48:22.000+0200
1523279,envases,Congosto FTE. N°46,-3.61883198536354,40.3724862589078,0,,2021-07-12T07:48:29.000+0200
1523208,resto,Montera 24,-3.7023681358205,40.4183807492332,0,,2021-07-12T07:48:42.000+0200
1525227,envases,Bronce 1 (Salida Meteo Planetario),-3.688753,40.393068,4,,2021-07-12T07:49:52.000+0200
1524132,envases,Serrano 47,-3.68724633992509,40.429380006891,0,,2021-07-12T07:49:59.000+0200
1523308,envases,Príncipe De Vergara 144,-3.67802999973699,40.4461017516396,6,,2021-07-12T07:50:19.000+0200
1524988,resto,Hacienda De Pavones N°348,-3.63366612839043,40.4000564596525,4,,2021-07-12T07:50:55.000+0200
1524459,envases,Gran Vía73,-3.71064790712469,40.4231576302164,0,,2021-07-12T07:51:12.000+0200
1525541,resto,Garcia De Paredes 37,-3.69775389541734,40.4367443286883,4,,2021-07-12T07:51:19.000+0200
1524306,resto,Plaza Cristo Rey CV Doctor Jimenez Diaz,-3.71815495529182,40.4395647087759,4,,2021-07-12T07:51:25.000+0200
1525150,resto,Retama 8 (Zona Entrada ECI),-3.67461852241145,40.3952602393081,2,,2021-07-12T07:51:26.000+0200
1524079,envases,Hacienda De Pavones Entre Fla.1-2 (Carrefour),-3.65066003779765,40.4055026234065,4,,2021-07-12T07:52:10.000+0200
1524822,resto,Alcalá 18,-3.6993261665394,40.417760453734,2,,2021-07-12T07:52:28.000+0200
1523930,envases,P° Alberto Palacios N°31 CV Oasis,-3.71241007595026,40.3454093711829,0,,2021-07-12T07:52:32.000+0200
1525039,envases,Orense Entre N°14 Y N°16,-3.69515572112029,40.4492965916002,6,,2021-07-12T07:53:26.000+0200
1524133,resto,Plaza Andrés Segovia,-3.67783548774688,40.4454515637791,6,,2021-07-12T07:53:39.000+0200
1524102,resto,Alcala N°31,-3.698302,40.418344,0,,2021-07-12T07:53:53.000+0200
1525553,resto,Castrogeriz N°7 CV Utebo,-3.73895790586518,40.3871059193156,2,,2021-07-12T07:53:55.000+0200
1525078,resto,Paseo De Las Delicias 78 (Salida Metro),-3.69443527765075,40.3985178005832,2,,2021-07-12T07:54:48.000+0200
